Atomic;		Symbol;		New Group #;		Old Group #;		Period;		Element name;		Atomic Mass (rounded);		Atomic Mass (IUPAC 2001);		Notes;		Melting Point (ÁC);		Boiling Point (ÁC);		Density (g/cm3);		Electro- negativity (Pauling);		1st Ionisation Energy (kJ/mol);		Electron Affinity (kJ/mol);		Covalent Atomic Radius (pm);		Common Oxidation States;		Predicted Electron Configuration;		Observed Electron Configuration
16;	 S;	 16;		 VI A;		3;		sulfur;		32,07;		32,065;		yellow;		112,8;		444,7;		2,07;		2,6;		1005;		-200;		102;		_2;		[Ne] 3s2 3p4;		[Ne] 3s2 3p4
17;	 Cl;	 17;		 VII A;		3;		chlorine;		35,45;		35,453;		;		-101;		-34,6;		0,00321;		3,2;		1255;		-349;		99;		_1;		[Ne] 3s2 3p5;		[Ne] 3s2 3p5
18;	 Ar;	 18;		 VIII A;		3;		argon;		39,95;		39,948;		;		-189,2;		-185,7;		0,00178;		;		1527;		;		97;		0;		[Ne] 3s2 3p6;		[Ne] 3s2 3p6
19;	 K;	 1;		  I A;		4;		potassium;		39,1;		39,0983;		;		63,25;		760;		0,86;		0,8;		419;		-48;		196;		1;		[Ar] 4s1;		[Ar] 4s1
20;	 Ca;	 2;		  II A;		4;		calcium;		40,08;		40,078;		;		839;		1484;		1,55;		1;		590;		-186;		174;		2;		[Ar] 4s2;		[Ar] 4s2
21;	 Sc;	 3;		  III B;		4;		scandium;		44,96;		44,95591;		;		1541;		2832;		2,99;		1,4;		633;		-18;		144;		3;		[Ar] 4s2 3d1;		[Ar] 4s2 3d1
22;	 Ti;	 4;		  IV B;		4;		titanium;		47,87;		47,867;		;		1660;		3287;		4,54;		1,5;		659;		-8;		136;		+4,3,2;		[Ar] 4s2 3d2;		[Ar] 4s2 3d2
23;	 V;	 5;		  V B;		4;		vanadium;		50,94;		50,9415;		;		1890;		3380;		6,11;		1,6;		651;		-51;		125;		+5,2,3,4;		[Ar] 4s2 3d3;		[Ar] 4s2 3d3
24;	 Cr;	 6;		  VI B;		4;		chromium;		52;		51,9961;		;		1857;		2672;		7,19;		1,7;		653;		-65;		127;		+3,2,6;		[Ar] 4s2 3d4;		[Ar] 4s1 3d5
25;	 Mn;	 7;		  VII B;		4;		manganese;		54,94;		54,938049;		;		1244;		1962;		7,43;		1,6;		717;		                      <0;		139;		+2,3,4,6,7;		[Ar] 4s2 3d5;		[Ar] 4s2 3d5
26;	 Fe;	 8;		  VIII B;		4;		iron;		55,85;		55,845;		;		1535;		2750;		7,86;		1,8;		763;		-16;		125;		3,2;		[Ar] 4s2 3d6;		[Ar] 4s2 3d6
27;	 Co;	 9;		  VIII B;		4;		cobalt;		58,93;		58,9332;		;		1495;		2870;		8,9;		1,9;		761;		-64;		126;		2,3;		[Ar] 4s2 3d7;		[Ar] 4s2 3d7
28;	 Ni;	 10;		 VIII B;		4;		nickel;		58,69;		58,6934;		;		1453;		2730;		8,9;		1,9;		737;		-156;		121;		2,3;		[Ar] 4s2 3d8;		[Ar] 4s2 3d8
29;	 Cu;	 11;		 I B;		4;		copper;		63,55;		63,546;		;		1083;		2567;		8,96;		1,9;		746;		-118;		138;		2,1;		[Ar] 4s2 3d9;		[Ar] 4s1 3d10
30;	 Zn;	 12;		 II B;		4;		zinc;		65,41;		65,409;		;		419,6;		906;		7,13;		1,7;		906;		-9;		131;		2;		[Ar] 4s2 3d10;		[Ar] 4s2 3d10
31;	 Ga;	 13;		 III A;		4;		gallium;		69,72;		69,723;		;		29,8;		2403;		5,9;		1,8;		579;		-29;		126;		3;		[Ar] 4s2 3d10 4p1;		[Ar] 4s2 3d10 4p1
32;	 Ge;	 14;		 IV A;		4;		germanium;		72,64;		72,64;		;		947,4;		2830;		5,32;		2;		762;		-116;		122;		4,2;		[Ar] 4s2 3d10 4p2;		[Ar] 4s2 3d10 4p2
33;	 As;	 15;		 V A;		4;		arsenic;		74,92;		74,9216;		sublimes (28 atm) ;		817;		617;		5,73;		2,2;		947;		-78;		119;		±3,+5;		[Ar] 4s2 3d10 4p3;		[Ar] 4s2 3d10 4p3
34;	 Se;	 16;		 VI A;		4;		selenium;		78,96;		78,96;		;		217;		685;		4,79;		2,6;		941;		-195;		116;		+4,_2,+6;		[Ar] 4s2 3d10 4p4;		[Ar] 4s2 3d10 4p4
35;	 Br;	 17;		 VII A;		4;		bromine;		79,9;		79,904;		;		-7,2;		58,8;		3,12;		3;		1140;		-325;		114;		±1,+5;		[Ar] 4s2 3d10 4p5;		[Ar] 4s2 3d10 4p5
36;	 Kr;	 18;		 VIII A;		4;		krypton;		83,8;		83,798;		;		-157;		-152;		0,00374;		3;		1356;		;		110;		0;		[Ar] 4s2 3d10 4p6;		[Ar] 4s2 3d10 4p6
37;	 Rb;	 1;		  I A;		5;		rubidium;		85,47;		85,4678;		;		38,9;		686;		1,53;		0,8;		409;		-47;		211;		1;		[Kr] 5s2;		[Kr] 5s2
38;	 Sr;	 2;		  II A;		5;		strontium;		87,62;		87,62;		;		769;		1384;		2,54;		1;		550;		-146;		192;		2;		[Kr] 5s2;		[Kr] 5s2
39;	 Y;	 3;		  III B;		5;		yttrium;		88,91;		88,90585;		;		1523;		3337;		4,47;		1,2;		600;		-30;		162;		3;		[Kr] 5s2 4d1;		[Kr] 5s2 4d1
40;	 Zr;	 4;		  IV B;		5;		zirconium;		91,22;		91,224;		;		1852;		4377;		6,51;		1,3;		640;		-41;		148;		4;		[Kr] 5s2 4d2;		[Kr] 5s2 4d2
41;	 Nb;	 5;		  VI B;		5;		niobium;		92,91;		92,90638;		;		2468;		4742;		8,57;		1,6;		652;		-87;		137;		5,3;		[Kr] 5s2 4d3;		[Kr] 5s1 4d4
42;	 Mo;	 6;		  VI B;		5;		molybdenum;		95,94;		95,94;		;		2617;		4612;		10,2;		2,2;		684;		-72;		145;		+6,3,5;		[Kr] 5s2 4d4;		[Kr] 5s1 4d5
43;	 Tc;	 7;		  VII B;		5;		technetium;		98;		98;		;		2172;		4877;		11,5;		1,9;		702;		-96;		156;		+7,4,6;		[Kr] 5s2 4d5;		[Kr] 5s2 4d5
44;	 Ru;	 8;		  VIII B;		5;		ruthenium;		101,1;		101,07;		;		2310;		3900;		12,4;		2,2;		710;		-101;		126;		+4,3,6,8;		[Kr] 5s2 4d6;		[Kr] 5s1 4d7
45;	 Rh;	 9;		  VIII B;		5;		rhodium;		102,9;		102,9055;		;		1966;		3727;		12,4;		2,3;		720;		-110;		135;		+3,4,6;		[Kr] 5s2 4d7;		[Kr] 5s1 4d8
46;	 Pd;	 10;		 VIII B;		5;		palladium;		106,4;		106,42;		;		1554;		3140;		12;		2,2;		804;		-54;		131;		2,4;		[Kr] 5s2 4d8;		[Kr] (5s0) 4d10
47;	 Ag;	 11;		 I B;		5;		silver;		107,9;		107,8682;		;		962;		2212;		10,5;		1,9;		731;		-126;		153;		1;		[Kr] 5s2 4d9;		[Kr] 5s1 4d10
48;	 Cd;	 12;		 II B;		5;		cadmium;		112,4;		112,411;		;		320,9;		765;		8,65;		1,7;		868;		-26;		148;		2;		[Kr] 5s2 4d10;		[Kr] 5s2 4d10
49;	 In;	 13;		 III A;		5;		indium;		114,8;		114,818;		;		156,6;		2080;		7,31;		1,8;		558;		-29;		144;		3;		[Kr] 5s2 4d10 5p1;		[Kr] 5s2 4d10 5p1
50;	 Sn;	 14;		 IV A;		5;		tin;		118,7;		118,71;		;		232;		2270;		7,31;		2;		709;		-116;		141;		4,2;		[Kr] 5s2 4d10 5p2;		[Kr] 5s2 4d10 5p2
51;	 Sb;	 15;		 V A;		5;		antimony;		121,8;		121,76;		;		631;		1950;		6,69;		2,1;		834;		-101;		138;		3,5;		[Kr] 5s2 4d10 5p3;		[Kr] 5s2 4d10 5p3
52;	 Te;	 16;		 VI A;		5;		tellurium;		127,6;		127,6;		;		449,5;		989,8;		6,24;		2,1;		869;		-190;		135;		+4,6,_2;		[Kr] 5s2 4d10 5p4;		[Kr] 5s2 4d10 5p4
53;	 I;	 17;		 VII A;		5;		iodine;		126,9;		126,90447;		;		113,5;		184;		4,93;		2,7;		1008;		-295;		133;		_1,+5,7;		[Kr] 5s2 4d10 5p5;		[Kr] 5s2 4d10 5p5
54;	 Xe;	 18;		 VIII A;		5;		xenon;		131,3;		131,293;		;		-111,8;		-107,1;		0,00589;		2,6;		1176;		;		131;		0;		[Kr] 5s2 4d10 5p6;		[Kr] 5s2 4d10 5p6
55;	 Cs;	 1;		  I A;		6;		caesium;		132,9;		132,90545;		;		28,4;		669;		1,87;		0,8;		382;		-45;		225;		1;		[Xe] 6s1;		[Xe] 6s1
56;	 Ba;	 2;		  II A;		6;		barium;		137,3;		137,327;		;		725;		1640;		3,5;		0,9;		508;		-46;		198;		2;		[Xe] 6s2;		[Xe] 6s2
57;	 La;	 lanthanides;		III B;		6;		lanthanum;		138,9;		138,9055;		;		920;		3454;		6,15;		1,1;		538;		-48;		169;		3;		[Xe] 6s2 4f1;		[Xe] 6s2 4f1
58;	 Ce;	 lanthanides;		lanthanides;		6;		cerium;		140,1;		140,116;		;		798;		3257;		6,66;		1,1;		534;		;		;		3,4;		[Xe] 6s2 4f2;		[Xe] 6s2 4f2
59;	 Pr;	 lanthanides;		lanthanides;		6;		praseodymium;		140,9;		140,90765;		;		931;		3017;		6,77;		1,1;		527;		;		;		3,4;		[Xe] 6s2 4f3;		[Xe] 6s2 4f3
60;	 Nd;	 lanthanides;		lanthanides;		6;		neodymium;		144,2;		144,24;		;		1016;		3127;		7;		1,1;		533;		;		;		3;		[Xe] 6s2 4f4;		[Xe] 6s2 4f4
61;	 Pm;	 lanthanides;		lanthanides;		6;		promethium;		145;		145;		;		1042;		3000;		7,26;		;		540;		;		;		3;		[Xe] 6s2 4f5;		[Xe] 6s2 4f5
62;	 Sm;	 lanthanides;		lanthanides;		6;		samarium;		150,4;		150,36;		;		1074;		1794;		7,52;		1,2;		545;		;		;		3,2;		[Xe] 6s2 4f6;		[Xe] 6s2 4f6
63;	 Eu;	 lanthanides;		lanthanides;		6;		europium;		152;		151,964;		;		822;		1529;		5,24;		;		547;		;		;		3,2;		[Xe] 6s2 4f7;		[Xe] 6s2 4f7
64;	 Gd;	 lanthanides;		lanthanides;		6;		gadolinium;		157,3;		157,25;		;		1313;		3273;		7,9;		1,2;		593;		;		;		3;		[Xe] 6s2 4f8;		[Xe] 6s2 4f8
65;	 Tb;	 lanthanides;		lanthanides;		6;		terbium;		158,9;		158,92534;		;		1365;		3230;		8,23;		;		566;		;		;		3,4;		[Xe] 6s2 4f9;		[Xe] 6s2 4f9
66;	 Dy;	 lanthanides;		lanthanides;		6;		dysprosium;		162,5;		162,5;		;		1412;		2567;		8,55;		1,2;		573;		;		;		3;		[Xe] 6s2 4f10;		[Xe] 6s2 4f10
67;	 Ho;	 lanthanides;		lanthanides;		6;		holmium;		164,9;		164,93032;		;		1474;		2700;		8,8;		1,2;		581;		;		;		3;		[Xe] 6s2 4f11;		[Xe] 6s2 4f11
68;	 Er;	 lanthanides;		lanthanides;		6;		erbium;		167,3;		167,259;		;		1529;		2868;		9,07;		1,2;		589;		;		;		3;		[Xe] 6s2 4f12;		[Xe] 6s2 4f12
69;	 Tm;	 lanthanides;		lanthanides;		6;		thulium;		168,9;		168,93421;		;		1545;		1950;		9,32;		1,3;		597;		;		;		3,2;		[Xe] 6s2 4f13;		[Xe] 6s2 4f13
70;	 Yb;	 lanthanides;		lanthanides;		6;		ytterbium;		173;		173,04;		;		819;		1196;		6,97;		;		603;		;		;		3,2;		[Xe] 6s2 4f14;		[Xe] 6s2 4f14
71;	 Lu;	 3;		  lanthanides;		6;		lutetium;		175;		174,967;		;		1663;		3402;		9,84;		1,3;		524;		;		;		3;		[Xe] 6s2 4f14 5d1;		[Xe] 6s2 4f14 5d1
72;	 Hf;	 4;		  IV B;		6;		hafnium;		178,5;		178,49;		;		2227;		4600;		13,3;		1,3;		659;		;		;		4;		[Xe] 6s2 4f14 5d2;		[Xe] 6s2 4f14 5d2
73;	 Ta;	 5;		  V B;		6;		tantalum;		181;		180,9479;		;		2996;		5425;		16,6;		1,5;		761;		-14;		;		5;		[Xe] 6s2 4f14 5d3;		[Xe] 6s2 4f14 5d3
74;	 W;	 6;		  VI B;		6;		tungsten;		183,8;		183,84;		;		3410;		5660;		19,3;		2,4;		770;		-80;		;		6,4;		[Xe] 6s2 4f14 5d4;		[Xe] 6s2 4f14 5d4
75;	 Re;	 7;		  VII B;		6;		rhenium;		186,2;		186,207;		;		3180;		5600;		21;		1,9;		760;		-14;		;		+7,4,6;		[Xe] 6s2 4f14 5d5;		[Xe] 6s2 4f14 5d5
76;	 Os;	 8;		  VIII B;		6;		osmium;		190,2;		190,23;		;		3045;		5030;		22,6;		2,2;		840;		-106;		;		+4,6,8;		[Xe] 6s2 4f14 5d6;		[Xe] 6s2 4f14 5d6
77;	 Ir;	 9;		  VIII B;		6;		iridium;		192,2;		192,217;		;		2410;		4130;		22,4;		2,2;		880;		-30;		;		+4,3,6;		[Xe] 6s2 4f14 5d7;		[Xe] 6s2 4f14 5d7
78;	 Pt;	 10;		 VIII B;		6;		platinum;		195,1;		195,078;		;		1772;		3827;		21,4;		2,3;		870;		-205;		;		4,2;		[Xe] 6s2 4f14 5d8;		[Xe] 6s2 4f14 5d8
79;	 Au;	 11;		 I B;		6;		gold;		197;		196,96655;		;		1064;		3080;		19,3;		2,5;		890;		-223;		;		3,1;		[Xe] 6s2 4f14 5d9;		[Xe] 6s2 4f14 5d9
80;	 Hg;	 12;		 II B;		6;		mercury;		200,6;		200,59;		;		-38,9;		357;		13,5;		2;		1007;		-18;		;		2,1;		[Xe] 6s2 4f14 5d10;		[Xe] 6s2 4f14 5d10
81;	 Tl;	 13;		 III A;		6;		thallium;		204,4;		204,3833;		;		303;		1457;		11,9;		1,6;		589;		-19;		171;		1,3;		[Xe] 6s2 4f14 5d10 6p1;		[Xe] 6s2 4f14 5d10 6p1
82;	 Pb;	 14;		 IV A;		6;		lead;		207,2;		207,2;		;		327,5;		1740;		11,4;		2,3;		723;		-35;		175;		2,4;		[Xe] 6s2 4f14 5d10 6p2;		[Xe] 6s2 4f14 5d10 6p2
83;	 Bi;	 15;		 V A;		6;		bismuth;		209;		208,98038;		;		271;		1560;		9,75;		2;		711;		-92;		170;		3,5;		[Xe] 6s2 4f14 5d10 6p3;		[Xe] 6s2 4f14 5d10 6p3
84;	 Po;	 16;		 VI A;		6;		polonium;		209;		209;		;		254;		962;		9,32;		2;		821;		-183;		176;		4,2;		[Xe] 6s2 4f14 5d10 6p4;		[Xe] 6s2 4f14 5d10 6p4
85;	 At;	 17;		 VII A;		6;		astatine;		210;		210;		;		302;		337;		;		2,2;		920;		-270;		142;		;		[Xe] 6s2 4f14 5d10 6p5;		[Xe] 6s2 4f14 5d10 6p5
86;	 Rn;	 18;		 VIII A;		6;		radon;		222;		222;		;		-71;		-61,8;		0,00973;		;		1042;		;		140;		0;		[Xe] 6s2 4f14 5d10 6p6;		[Xe] 6s2 4f14 5d10 6p6
87;	 Fr;	 1;		  I A;		7;		francium;		223;		223;		;		27;		677;		;		0,7;		380;		-44;		;		1;		[Rn] 7s1;		[Rn] 7s1
88;	 Ra;	 2;		  II A;		7;		radium;		226;		226;		;		700;		1140;		5;		0,9;		509;		;		;		2;		[Rn] 7s2;		[Rn] 7s2
89;	 Ac;	 actinides;		III B;		7;		actinium;		227;		227;		;		1050;		3200;		10,1;		1,1;		499;		;		;		3;		[Rn] 7s2 5f1;		[Rn] 7s2 5f1
90;	 Th;	 actinides;		actinides;		7;		thorium;		232,04;		232,0381;		;		1750;		4790;		11,7;		1,3;		587;		;		;		4;		[Rn] 7s2 5f2;		[Rn] 7s2 5f2
91;	 Pa;	 actinides;		actinides;		7;		protactinium;		231,04;		231,03588;		;		1570;		4000;		15,4;		1,5;		568;		;		;		5,4;		[Rn] 7s2 5f3;		[Rn] 7s2 5f3
92;	 U;	 actinides;		actinides;		7;		uranium;		238,03;		238,02891;		;		1132;		3818;		19;		1,4;		598;		;		;		+6,3,4,5;		[Rn] 7s2 5f4;		[Rn] 7s2 5f4
93;	 Np;	 actinides;		actinides;		7;		neptunium;		237;		237;		;		640;		3900;		20,2;		1,4;		605;		;		;		+5,3,4,6;		[Rn] 7s2 5f5;		[Rn] 7s2 5f5
94;	 Pu;	 actinides;		actinides;		7;		plutonium;		239;		239;		;		641;		3232;		19,8;		1,3;		585;		;		;		+4,3,5,6;		[Rn] 7s2 5f6;		[Rn] 7s2 5f6
95;	 Am;	 actinides;		actinides;		7;		americium;		243;		243;		;		994;		2607;		13,7;		1,3;		578;		;		;		+3,4,5,6;		[Rn] 7s2 5f7;		[Rn] 7s2 5f7
96;	 Cm;	 actinides;		actinides;		7;		curium;		247;		247;		;		1340;		;		13,5;		1,3;		581;		;		;		3;		[Rn] 7s2 5f8;		[Rn] 7s2 5f8
97;	 Bk;	 actinides;		actinides;		7;		berkelium;		247;		247;		;		986;		;		14;		1,3;		601;		;		;		3,4;		[Rn] 7s2 5f9;		[Rn] 7s2 5f9
98;	 Cf;	 actinides;		actinides;		7;		californium;		251;		251;		;		;		;		;		1,3;		608;		;		;		3;		[Rn] 7s2 5f10;		[Rn] 7s2 5f10
99;	 Es;	 actinides;		actinides;		7;		einsteinium;		252;		252;		;		;		;		;		1,3;		619;		;		;		3;		[Rn] 7s2 5f11;		[Rn] 7s2 5f11
100; Fm;  actinides;		actinides;		7;		fermium;		257;		257;		;		;		;		;		1,3;		627;		;		;		3;		[Rn] 7s2 5f12;		[Rn] 7s2 5f12
101; Md;  actinides;		actinides;		7;		mendelevium;		258;		258;		;		;		;		;		1,3;		635;		;		;		3,2;		[Rn] 7s2 5f13;		[Rn] 7s2 5f13
102; No;  actinides;		actinides;		7;		nobelium;		259;		259;		;		;		;		;		1,3;		642;		;		;		2,3;		[Rn] 7s2 5f14;		[Rn] 7s2 5f14
103; Lr;  3;		  actinides;		7;		lawrencium;		262;		262;		;		;		;		;		;		;		;		;		3;		[Rn] 7s2 5f14 6d1;		[Rn] 7s2 5f14 6d1
104; Rf;  4;		  IV B;		7;		rutherfordium;		261;		261;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d2;		[Rn] 7s2 5f14 6d2
105; Db;  5;		  V B;		7;		dubnium;		262;		262;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d3;		[Rn] 7s2 5f14 6d3
106; Sg;  6;		  VI B;		7;		seaborgium;		266;		266;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d4;		[Rn] 7s2 5f14 6d4
107; Bh;  7;		  VII B;		7;		bohrium;		264;		264;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d5;		[Rn] 7s2 5f14 6d5
108; Hs;  8;		  VIII B;		7;		hassium;		277;		277;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d6;		[Rn] 7s2 5f14 6d6
109; Mt;  9;		  VIII B;		7;		meitnerium;		268;		268;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d7;		[Rn] 7s2 5f14 6d7
110; Ds;  10;		 VIII B;		7;		darmstadtium;		281;		281;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d8;		[Rn] 7s2 5f14 6d8
111; Rg;  11;		 I B;		7;		roentgentium;		272;		272;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d9;		[Rn] 7s2 5f14 6d9
112; Uub; 12;		 II B;		7;		ununbium;		285;		285;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10;		[Rn] 7s2 5f14 6d10
113; Uut; 13;		 III A;		7;		ununtrium;		284;		284;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10 7p1;		[Rn] 7s2 5f14 6d10 7p1
114; Uuq; 14;		 IV A;		7;		ununquadium;		289;		289;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10 7p2;		[Rn] 7s2 5f14 6d10 7p2
115; Uup; 15;		 V A;		7;		ununpentium;		288;		288;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10 7p3;		[Rn] 7s2 5f14 6d10 7p3
116; Uuh; 16;		 VI A;		7;		ununhexium;		292;		292;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10 7p4;		[Rn] 7s2 5f14 6d10 7p4
117; Uus; 17;		 VII A;		7;		ununseptium;		;		;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10 7p5;		[Rn] 7s2 5f14 6d10 7p5
118; Uuo; 18;		 VIII A;		7;		ununoctium;		294;		294;		;		;		;		;		;		;		;		;		;		[Rn] 7s2 5f14 6d10 7p6;		[Rn] 7s2 5f14 6d10 7p6
